,Comment,Speaker,Tag,word_count,negative,neutral,positive,compound
1,"In the talk we had in lecture with MrSweetnam we learned about his work at NBCUniversal We
 learned about marketing and how to optimize marketing across different channels Product and
 the effect on user acquisition of offering 2 free episodes before a paywall and Content and what
 program to acquire We learned about end to end data projects that go from project kickoff
 data source validation  data analytics  collect insights  report out Lastly he gave us
 different career paths we could go down and skills needed for each one The part about
 interviews were useful as I know what type of SQL interviews to prepare me for",Sweetnam,1,110,0,1,0,0
2,I have learned a lot from Mr Sweetnams talk It is very interesting to get to know the daytoday work of a data scientist and see how they apply statistical knowledge to real world projects Below are some points that I learned I learned about data analytics in the entertainment industry There are many aspects where data science can be applied including marketing product and content More specifically his role at Retention  Engagement Analytics involves project management for analytics databases KPI dashboards and reporting promo analysis and recommendation I also learned about the process of data projects from end to end It starts with the project kickoff and then data source validation data analysis and ends with collecting insights and report 80 of the time is spent in data cleaning and 20 of the time is running algorithms I learned more about the different types of data scientistsanalystsdeveloper roles and their skills including soft skills communication enthusiasm willingness to learn and domain knowledge and technical skills SQL R Python visualization platform and statistics We should aim to have a T profile set of skills be an expert in one category and just know enough of the rest to be dangerous His advice is useful Communication skills are really important We should improve our skills of explaining complicated things to nontechnical people Asking the right questions is also important,Sweetnam,1,229,0,1,0,0
3,From MrSweetnams talk I learnt how life would be like after I graduate from college and working for a company In order to be wellprepared for job in the future I need to learn not only R but also python SQL and any other software that can help me to success Moreover it is very important to work in a field that I am interested in becuase working in such a field I will be more passionate,Sweetnam,0,77,0,1,0,0
4,I enjoyed the speech MrSweentam gave us on Tuesday He clearly told us what data analyst looks after college What he amazed me was that he visually demonstrated what potential job could be for Stats Major According to a table on a slide I am kinda interested in doing Data research in the future because I just hit its requirement SQLRPythonSparkTensorflow In this quarter I got my first ever research in UCLA using Tensorflow to study convolutional neural network Also in his talk he gave us a graph of how he makes distribution of daily time spent When I was trying to look into that I could ima,Sweetnam,1,108,0,0.784,0.216,0.5106
5,Mr Sweetnams talk is about the statistics after college From his own experience he introduced how data and analytics used at an entertainment company Marketing Product and Content are three important aspects As for his role at NBCUniversal he is doing central data and analytics consulting on projects across the businesses like universal studio film and news Besides he is also working on decision science about retention and engagement analytics Going through his work I learn a lot about what I can do after college Whats more he also showed us his distribution of daily time spent which give me an overview of working time One important thing in the distribution is to learn new tech Although we have learned a lot of stuff in college we still need to learn new tech daily,Sweetnam,1,134,0,1,0,0
6,"Quinn Sweetnams talk was very insightful about the data science in the industry removed away
 from academia I found the term data creative to be very inspiring because of my creative
 background as an artist Much like how as a musician and composer I try to communicate
 between the audience and my band in order to create a dynamic experience It is my job as
 band leader to provide stimulating music for my band to play while also being digestible by the
 audience This is similar to my interest in being able to communicate effectively between the
 business and technical side of my future data related career
 I also appreciated Quinns positive outlook towards the company culture where business
 management is understanding of peoples different repertoire of technical skills It was great
 that he touched upon imposter syndrome too because I know that is something that my cohort
 and I suffer from",Sweetnam,1,152,0,1,0,0
7,"Mr Sweetnam has been the most relevant guest speaker so far because it hasnt been
 long since hes been in our shoes As Im applying for jobs I find it difficult to market myself
 without much experience or knowledge I learnt that companies dont expect you to know much
 coming out of a university Of course basic statistical background knowledge is expected but
 we dont have to be experts at modeling and analysis I learnt that the majority of time is spent
 preparing and cleaning data as he mentioned in the 8020 rule This makes me feel better and
 more confident as I continue to apply for jobs because I now know that Im not alone in feeling
 inadequate My takeaway is to brush up on the fundamentals and practice more applied
 problems I will also try to emphasize my soft skills in communications and teamwork and use
 my prior serving experiences to leverage this point",Sweetnam,1,156,0,1,0,0
8,"I learned that there are different types of job in the field of data science like data analyst data
 engineer data product manager data creative as well as the business side of data An
 important skill set required for the more technical roles is SQL SQL is an important tool to help
 you work with data and analyze it better However a skill that spreads across all roles is
 communication skills We need to learn how to communicate effectively and help both STEM
 and nonSTEM team members understand your data and your findings",Sweetnam,0,93,0,1,0,0
9,"There are so many questions that a company can ask for a statistician to answer For
 example How can you structure our website to optimize customer conversions on the checkout page You also would typically spend 80 of the time understanding the question and cleaning the data compared to only 20 on answering the question In terms of soft skills communication is the most important In terms of technical skills SQL is the most important The last good piece of advice is that often employers would list off so many skills for the job because they do not know what exactly the job entails Therefore you do not necessarily need to meet everything on the checklist",Sweetnam,0,116,0,1,0,0
10,Mr Sweetnam described the main purposes of his job and talked about a future project being released in the summer He works for Universal and Peacock His new project is an online streaming service that provides a wide range of tv series and movies such as the Jurassic Park franchise and Parks and Rec He broke down his time management and how it reflected the 8020 rule Sweetnam said that most of our time should be spent exploring and cleaning the data and the remainder of the time is gathering all of the findings It is great to see the different job opportunities that can be possible after college and how statistics ties into the work,Sweetnam,1,116,0,1,0,0
11,"I learned a great deal from Mr Sweetnams talk I enjoyed hearing about the steps that Mr
 Sweetnam and his team at NBC take when working on a project The importance of presenting
 results that are actionable stood out to me as even though this may seem obvious from a
 business perspective it is not something we always focus on in our statistics courses In addition I thought it was interesting to hear about the different types of roles in industry that individuals working in data can have from a more business focused role to a stronger researcher or developer focused role I was aware that the terms data analyst and data scientist can vary greatly from one company to another but I had never seen the different data roles explained so clearly This discussion definitely helped to clarify industry data roles in my mind Finally it was great to hear the importance of communication in the workplace reiterated This is something I definitely found vital during my internship this past summer so it was nice to hear again",Sweetnam,0,180,0,0.745,0.255,0.6249
12,"From Mr Sweetnams talk I learned that communication is very important because the main
 point of analysis is to answer a problem and its difficult to do that well without good
 communication skills I also learned about the 8020 rule which means people usually spend
 80 of their time doing exploratory analysis data cleaning and the last 20 is the modeling",Sweetnam,0,61,0,1,0,0
13,What I learn from Mr Swettenhams talk is that the how the data and analytics used at an entertainment company On marketing we can optimize the marketing across different channel and think of how to group the programs together On product we can structure the website to optimize customer conversation to check out pages For content what type of movies or shows that customers are interested In order to be a great in a team you need to spend great deal of time on coding and questioning,Sweetnam,1,87,0,1,0,0
14,Mr Sweetnams talk was very informational and clear I learned a lot about the day to day life of a data analyst I also have an overview about the skill set of a data analyst I also become more clear about the difference roles in data science such as data engineer data analyst data scientist etc I learned the importance of SQL and become more confident about my skills that I dont need to be perfect in every single language I am glad that I choose to major in statistics and launch a career in data science,Sweetnam,0,97,0,1,0,0
15,I think this presentation is really useful for me I am considering about business analytic for my graduate program Specially the graph of comparing difference between business analyst data engineer and data scientist I also learned that for data business people the technical skill is excel and SQL For business analyst its focuses more on organization business problem comfortable with data and concept This gives me a lot of useful information,Sweetnam,0,71,0,0.775,0.225,0.4927
16,The speaking of Mr Sweetnam introduced that how is the data and analytics used in various aspects talked about what a role that data science plays in a enterprise and that data science do made great progress in hightech enterprises I guess it is where the explosive growth of data the fastest which give me a sense that the application of data science is needed everywhere in a way He also breaks it down into details such as what do we do when we doing the data analyzing let me get familiar to this aspect and have a clearer idea of future learning and planning which is super helpful for me as a senior whos looking for a formal job,Sweetnam,1,120,0,1,0,0
17,His talk was really interesting I like the way he explained the role data scientist and the essential skills that we would need I remember he combined the soft and technical skills for example communication skills with SQL willingness to learn with visualization platformTableau and domain knowledge with statistics I think that is a really helpful information And he also talked about the four proposed profiles of data professions and their technical skill set potential job title and the descriptions those were really helpful Overall that was a really nice presentation because he gave a lot of useful information but not just the big picture of that role I really like his presentation,Sweetnam,0,113,0,0.656,0.344,0.6976
